bookID,title,authors,rating,num_pages,year,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),A.B. Yehoshua/Hillel Halkin,0,0,1900,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),A.B. Yehoshua/Hillel Halkin,0,0,1913,
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),A.D.P. Briggs/Leo Tolstoy/Fyodor Dostoyevsky,0,0,1914,
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),A.E. Cunningham/Harlan Ellison/Charles F. Miller/Terry Dowling/Paul Rhoads/Jack Vance/Tom Shippey/Gene Wolfe/David Langford/Dan Simmons/David Mathew,0,0,1919,
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),A.J. Jacobs,0,0,1921,
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",A.M. Homes,0,0,1921,
7,Harry Potter Collection (Harry Potter  #1-6),A.N. Roquelaure/Anne Rice,0,0,1922,
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),A.N. Roquelaure/Anne Rice,0,0,1923,
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),A.N. Roquelaure/Anne Rice,0,0,1925,
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),A.N. Roquelaure/Anne Rice,0,0,1925,
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),A.S. Byatt,0,0,1928,
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),A.S. Byatt,0,0,1929,
13,A Short History of Nearly Everything,Åsne Seierstad,0,0,1931,
14,Bill Bryson's African Diary,Åsne Seierstad,0,0,1935,
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Åsne Seierstad/Ingrid Christopherson,0,0,1940,
16,In a Sunburned Country,Émile Zola/Andrew Moore/Ernest Alfred Vizetelly,0,0,1943,
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Émile Zola/Douglas Parmée,0,0,1947,
18,The Lost Continent: Travels in Small Town America,Émile Zola/Ernest Alfred Vizetelly,0,0,1948,
19,Neither Here nor There: Travels in Europe,Émile Zola/Ernest Alfred Vizetelly/Henry Vizetelly,0,0,1949,
20,Notes from a Small Island,Émile Zola/Henri Mitterand,0,0,1949,
21,The Mother Tongue: English and How It Got That Way,Émile Zola/Robert Lethbridge/Elinor Dorday,0,0,1949,
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Émile Zola/Robin Buss/Brian  Nelson,0,0,1950,
23,The Lord of the Rings (The Lord of the Rings  #1-3),Émile Zola/Roger Pearson,0,0,1950,
24,The Fellowship of the Ring (The Lord of the Rings  #1),Émile Zola/Roger Pearson,0,0,1952,
25,The Lord of the Rings (The Lord of the Rings  #1-3),Éric-Emmanuel Schmitt,0,0,1952,
26,The Lord of the Rings: Weapons and Warfare,Abbie Hoffman/Anita Hoffman,1,0,1953,
27,The Lord of the Rings: Complete Visual Companion,Abdul Rahman Munif/Peter Theroux,1,0,1953,
28,Agile Web Development with Rails: A Pragmatic Guide,Abigail Adams/Frank Shuffelton,1.67,0,1954,
29,Hatchet (Brian's Saga  #1),Abigail Thomas,2,0,1954,
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Abolqasem Ferdowsi/Dick Davis/Azar Nafisi,2,0,1954,
31,Guts: The True Stories behind Hatchet and the Brian Books,Abraham Lincoln/Bob Blaisdell,2,0,1954,
32,Molly Hatchet - 5 of the Best,Abraham Lincoln/Don E. Fehrenbacher,2,0,1955,
33,Hatchet Jobs: Writings on Contemporary Fiction,Abraham Lincoln/Gore Vidal,2,0,1955,
34,A Changeling for All Seasons (Changeling Seasons #1),Abraham Lincoln/Michael McCurdy,2,0,1955,
35,Changeling (Changeling  #1),Adèle Geras/Shelagh McNicholas/Adèle Geras,2.33,0,1955,
36,The Changeling Sea,Adam  Sexton/G. Tubach,2.4,0,1956,
37,The Changeling,Adam Drozdek,2.5,0,1956,
38,The Changeling,Adam Drozdek,2.55,0,1956,
39,The Changeling (Daughters of England  #15),Adam Ginsberg,2.61,0,1957,
40,The Known World,Adam Gopnik,2.62,0,1957,
41,The Known World,Adam Gopnik/Omar Rayyan,2.62,0,1957,
42,The Known World,Adam Hochschild,2.62,0,1958,
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Adam Hochschild,2.63,0,1958,
44,Artesia: Adventures in the Known World,Adam Hochschild,2.67,0,1958,
45,The John McPhee Reader (John McPhee Reader  #1),Adam Mansbach,2.67,0,1958,
46,Uncommon Carriers,Adam Rex,2.67,0,1959,
47,Heirs of General Practice,Adam Smith,2.67,0,1959,
48,The Control of Nature,Adam Smith/Robert B. Reich,2.72,0,1959,
49,Annals of the Former World,Adam Swift,2.75,0,1959,
50,Coming Into the Country,Adam Swift,2.75,0,1959,
51,La Place de la Concorde Suisse,Adam Woog,2.75,0,1960,
52,Giving Good Weight,Adolfo Bioy Casares,2.77,0,1960,
53,Rising from the Plains,Adrian Guelke/Michael Cox/Fiona Stephen,2.79,0,1960,
54,The Heidi Chronicles,Adrian McKinty,2.8,0,1960,
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Adrian McKinty,2.8,0,1960,
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Adrian McKinty,2.81,0,1960,
57,Simply Beautiful Beaded Jewelry,Aeschylus/Alan Shapiro/Peter H. Burian,2.82,0,1961,
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Aeschylus/David Grene/Richmond Lattimore,2.82,0,1961,
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,2.82,0,1961,
60,Heidi (Heidi  #1-2),Aeschylus/David R. Slavitt/Smith Palmer Bovie,2.83,0,1961,
61,Getting Results with Curriculum Mapping,Aeschylus/David R. Slavitt/Smith Palmer Bovie,2.83,0,1961,
62,There's Always Enough: The Miraculous Move of God in Mozambique,Aeschylus/Denys L. Page,2.83,0,1962,
63,What to Expect the First Year (What to Expect),Aeschylus/E.D.A. Morshead,2.83,0,1962,
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Aeschylus/E.D.A. Morshead,2.83,0,1962,
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Aeschylus/George Thomson/Richard Seaford,2.83,0,1963,
66,God Emperor of Dune (Dune Chronicles  #4),Aeschylus/Peter Meineck/Helene P. Foley,2.83,0,1963,
67,Chapterhouse: Dune (Dune Chronicles #6),Aeschylus/Philip Vellacott,2.86,0,1963,
68,Dune Messiah (Dune Chronicles #2),Aeschylus/Richmond Lattimore/David Grene,2.86,0,1963,
69,Dreamer of Dune: The Biography of Frank Herbert,Aeschylus/Robert Fagles/William Bedell Stanford,2.86,0,1963,
70,Heretics of Dune (Dune Chronicles  #5),Aeschylus/Ted Hughes,2.86,0,1963,
71,The Road to Dune,Aesop/Ann McGovern,2.86,0,1963,
72,Heretics of Dune (Dune Chronicles #5),Aesop/Laura Harris/Laura Gibbs,2.88,0,1963,
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Agatha Christie,2.88,0,1963,
74,The Power of One (The Power of One  #1),Agatha Christie,2.88,0,1964,
75,The Power of One (The Power of One  #1),Agatha Christie,2.89,0,1964,
76,The Power of One: One Person  One Rule  One Month,Agatha Christie,2.92,0,1964,
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Agatha Christie,2.92,1,1964,
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Agatha Christie,2.93,1,1964,
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Agatha Christie,2.94,1,1964,
80,eBay for Dummies,Agatha Christie,2.96,1,1964,
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Agatha Christie,2.96,1,1964,
82,Starting an eBay Business for Dummies,Agatha Christie,2.98,1,1964,
83,eBay: Top 100 Simplified Tips & Tricks,Agatha Christie,2.98,1,1964,
84,ebay Timesaving Techniques for Dummies,Agatha Christie,2.99,1,1964,
85,eBay Business All-in-One Desk Reference for Dummies,Agatha Christie,3,1,1964,
86,Ruby Cookbook,Agatha Christie,3,1,1964,
87,Ruby Ann's Down Home Trailer Park Cookbook,Agatha Christie,3,1,1964,
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Agatha Christie,3,2,1964,
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Agatha Christie,3,2,1964,
90,Anna Karenina,Agatha Christie,3,2,1964,
91,Anna Karenina,Agatha Christie,3,2,1965,
92,Anna Karenina,Agatha Christie,3,2,1965,
93,CliffsNotes on Tolstoy's Anna Karenina,Agatha Christie,3,2,1965,
94,Anna Karenina,Agatha Christie,3,2,1965,
95,Anna Karenina,Agatha Christie,3,2,1965,
96,Anna Karenina,Agatha Christie,3,2,1965,
97,Dinner with Anna Karenina,Agatha Christie,3,2,1965,
98,Tolstoy: Anna Karenina,Agatha Christie,3,2,1965,
99,Untouchable,Agatha Christie,3,2,1965,
100,The Untouchable,Agatha Christie,3,2,1966,
101,The Untouchables,Agatha Christie,3,2,1966,
102,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Agatha Christie,3,2,1966,
103,Dalit: The Black Untouchables of India,Agatha Christie,3,3,1966,
104,Growing Up Untouchable in India: A Dalit Autobiography,Agatha Christie,3.02,3,1967,
105,The Evidence-Based Social Work Skills Book,Agatha Christie,3.02,3,1967,
106,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",Agatha Christie/David Suchet,3.03,3,1967,
107,Wrinkles in Time,Agatha Christie/Hugh Fraser,3.04,3,1968,
108,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Agatha Christie/Hugh Fraser,3.04,3,1968,
109,Literature Circle Guide: A Wrinkle in Time,Agatha Christie/Hugh Fraser,3.06,3,1968,
110,Una arruga en el tiempo – A Wrinkle in Time,Agatha Christie/Hugh Fraser,3.07,3,1968,
111,The Long Shadow (The Morland Dynasty  #6),Agatha Christie/Hugh Fraser,3.07,3,1968,
112,A Long Shadow (Inspector Ian Rutledge  #8),Agatha Christie/Hugh Fraser/David Suchet,3.07,3,1968,
113,Long Way Round: Chasing Shadows Across the World,Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne,3.07,3,1969,
114,A Shadow in Summer (Long Price Quartet  #1),Agatha Christie/Michael Bakewell/Peter Sallis/Cyril Luckham/Edward De Souza/Rachel Gurney/Nicky Henson/Deryck Guyler,3.08,3,1969,
115,New Hope for the Dead (Hoke Mosely #2),Agatha Christie/Robert Welch Herrick,3.08,3,1969,
116,Sideswipe: A Hoke Moseley Novel,Agatha Christie/Rosalind Ayres,3.09,3,1969,
117,Miami Blues (Hoke Moseley #1),Agatha Christie/Rosemary Leach,3.09,3,1969,
118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Ai Morinaga,3.09,3,1969,
119,I am Charlotte Simmons,Aidan Hartley,3.09,3,1969,
120,Poetry for Young People: Edward Lear,Aimé Césaire/Annette Smith/Clayton Eshleman,3.1,3,1969,
121,The Puffin Book of Nonsense Verse,Aimé Césaire/Richard Miller,3.11,3,1969,
122,Henry Miller on Writing,Aimee Bender,3.11,4,1969,
123,Quiet Days in Clichy,Akira Yoshida/Pat Lee/Paul Lee/C.B. Cebulski,3.11,4,1969,
124,Tropic of Cancer,Al Franken,3.11,4,1970,
125,Tropic of Capricorn,Al Franken,3.11,4,1970,
126,Nexus (The Rosy Crucifixion  #3),Al Franken,3.11,4,1970,
127,Sexus (The Rosy Crucifixion  #1),Al Franken/Melody Beattie/Stuart Smalley,3.12,4,1970,
128,The Air-Conditioned Nightmare,Al Gore,3.12,4,1970,
129,The Portrait of a Lady,Al Ries/Jack Trout,3.12,4,1970,
